N,rad_odd_M,num_goldbach,rho_min,rho_mean,rho_max,BW_goldbach
1120,35,34,4.337709,5.388938,5.630624,1.292915
1122,561,47,6.062276,6.989588,7.209102,1.146826
1124,281,19,5.762856,6.587152,6.815714,1.052858
1126,563,23,5.917355,6.981157,7.210811,1.293456
1128,141,39,5.273246,6.181720,6.421977,1.148731
1130,565,26,6.157441,6.971873,7.209633,1.052192
1132,283,22,5.523125,6.560926,6.817103,1.293978
1134,21,49,4.187832,5.120963,5.337228,1.149396
1136,71,23,4.975036,5.768724,6.027718,1.052682
1138,569,20,6.555686,7.036325,7.212000,0.656314
1140,285,58,5.890780,6.638263,6.818294,0.927514
1142,571,18,6.331567,7.006468,7.212393,0.880825
1144,143,24,5.863167,6.265239,6.424982,0.561814
1146,573,38,6.406578,7.001676,7.212770,0.806192
1148,287,26,6.044044,6.638932,6.819460,0.775416
1150,115,27,5.736673,6.131076,6.299571,0.562898
1152,3,36,3.507266,4.049983,4.227477,0.720211
1154,577,19,5.917661,6.976730,7.213560,1.295899
1156,17,22,3.917683,4.969152,5.213685,1.296002
1158,579,42,6.062036,7.005327,7.213892,1.151856
1160,145,29,5.371040,6.213887,6.427358,1.056318
1162,581,25,6.283963,7.043151,7.214209,0.930247
1164,291,43,5.891159,6.633031,6.821761,0.930603
1166,583,24,5.917789,6.965051,7.213630,1.295841
1168,73,22,4.884326,5.826758,6.037071,1.152745
1170,195,58,5.534702,6.402662,6.593016,1.058314
1172,293,18,6.044012,6.632879,6.822739,0.778727
1174,587,22,5.917874,6.982036,7.215472,1.297598
1176,21,49,4.176622,5.130586,5.330264,1.153642
1178,589,19,6.156586,7.042471,7.215732,1.059146
1180,295,26,6.013039,6.653206,6.824049,0.811010
1182,591,40,6.283323,7.020123,7.215833,0.932510
1184,37,20,4.350803,5.398033,5.649056,1.298253
1186,593,20,6.061856,7.025361,7.216599,1.154743
1188,33,43,4.523441,5.407120,5.583774,1.060333
1190,595,33,5.918041,7.006521,7.216713,1.298673
1192,149,23,5.278975,6.184963,6.434308,1.155332
1194,597,45,6.156311,7.024791,7.217330,1.061019
1196,299,24,5.526866,6.611046,6.825943,1.299077
1198,599,24,6.061780,6.964094,7.217712,1.155932
1200,15,54,4.075058,4.946225,5.136745,1.061687
1202,601,19,6.570118,7.046367,7.218080,0.647962
1204,301,28,5.527315,6.572976,6.827219,1.299904
1206,201,43,5.442363,6.406926,6.599066,1.156703
1208,151,20,5.374702,6.269080,6.437250,1.062548
1210,55,32,5.052453,5.678129,5.867463,0.815010
1212,303,42,5.891885,6.635715,6.828451,0.936566
1214,607,22,6.328905,7.043755,7.219173,0.890268
1216,19,21,3.966691,5.034750,5.267679,1.300987
1218,609,49,6.061655,7.049546,7.219486,1.157831
1220,305,27,5.528203,6.599194,6.829566,1.301363
1222,611,25,6.061631,7.016468,7.218562,1.156931
1224,51,45,4.757804,5.598619,5.822053,1.064250
1226,613,22,5.918405,6.994585,7.220253,1.301848
1228,307,22,5.671810,6.605489,6.830104,1.158294
1230,615,55,6.155707,7.033580,7.220607,1.064901
1232,77,28,4.749647,5.835785,6.051964,1.302317
1234,617,25,5.918484,6.897353,7.220966,1.302482
1236,309,42,5.672117,6.610064,6.831714,1.159597
1238,619,18,6.155575,7.032209,7.221320,1.065745
1240,155,34,5.140039,6.212584,6.442670,1.302631
1242,69,44,4.827889,5.759522,5.987761,1.159872
1244,311,23,5.766402,6.596268,6.832714,1.066312
1246,623,26,6.402144,7.022593,7.221607,0.819462
1248,39,45,4.725701,5.486720,5.666561,0.940860
1250,5,28,3.619255,4.332266,4.513957,0.894703
1252,313,23,5.529933,6.595545,6.833299,1.303366
1254,627,51,6.061437,7.008578,7.222582,1.161145
1256,157,20,5.378179,6.235824,6.445630,1.067452
1258,629,21,6.548579,7.060355,7.222966,0.674388
1260,105,68,5.277004,6.038425,6.219210,0.942206
1262,631,22,5.918755,6.989849,7.223414,1.304659
1264,79,26,4.896756,5.864155,6.058807,1.162051
1266,633,42,6.155123,7.021119,7.223621,1.068497
1268,317,21,6.043876,6.628362,6.835386,0.791509
1270,635,27,6.280659,7.033206,7.223875,0.943217
1272,159,40,5.551167,6.269265,6.448525,0.897358
1274,91,26,5.525402,5.977315,6.135783,0.610381
1276,319,25,6.013203,6.644393,6.836615,0.823411
